Timestamp,Transaction Type,Asset,Quantity Transacted,Price Currency,Price at Transaction,Subtotal,Total (inclusive of fees and/or spread),Fees and/or Spread,Notes
2023-10-29 20:04:25 UTC,Staking Income,ADA,0.073021,USD,0.29665,0.02,0.02,0,
2023-10-28 00:37:46 UTC,Staking Income,SOL,0.000315551,USD,31.93,0.01,0.01,0,
2023-10-26 18:01:13 UTC,Staking Income,SOL,0.000316567,USD,31.19,0.01,0.01,0,
2023-10-25 21:01:25 UTC,Staking Income,SOL,0.000319091,USD,32.425,0.01,0.01,0,
2023-10-23 20:18:23 UTC,Staking Income,ADA,0.072561,USD,0.2701,0.02,0.02,0,
2023-10-20 17:04:34 UTC,Staking Income,SOL,0.000312591,USD,26.445,0.01,0.01,0,
2023-10-20 10:07:13 UTC,Staking Income,ADA,0.057114,USD,0.25185,0.01,0.01,0,
2023-10-20 00:20:24 UTC,Staking Income,SOL,0.000317499,USD,25.04,0.01,0.01,0,
2023-10-18 21:19:46 UTC,Staking Income,SOL,0.000320309,USD,23.54,0.01,0.01,0,
2023-10-14 21:05:40 UTC,Staking Income,SOL,0.000324918,USD,21.98,0.01,0.01,0,
2023-10-14 03:43:58 UTC,Staking Income,ADA,0.072863,USD,0.24625,0.02,0.02,0,
2023-10-13 06:02:05 UTC,Staking Income,SOL,0.000329023,USD,21.225,0.01,0.01,0,
2023-10-13 02:51:30 UTC,Staking Income,SOL,0.000328993,USD,21.3,0.01,0.01,0,
2023-10-12 03:58:30 UTC,Staking Income,SOL,0.000329541,USD,21.695,0.01,0.01,0,
2023-10-09 03:28:54 UTC,Staking Income,ADA,0.074963,USD,0.25735,0.02,0.02,0,
2023-10-06 23:41:10 UTC,Staking Income,SOL,0.00032063,USD,23.415,0.01,0.01,0,
2023-10-04 23:45:46 UTC,Staking Income,SOL,0.00032158,USD,23.15,0.01,0.01,0,
2023-10-04 03:30:59 UTC,Staking Income,ADA,0.075053,USD,0.2568,0.02,0.02,0,
2023-10-02 18:49:27 UTC,Staking Income,SOL,0.000314837,USD,23.405,0.01,0.01,0,
2023-09-30 17:25:38 UTC,Staking Income,SOL,0.0003221,USD,21.59,0.01,0.01,0,
2023-09-29 04:50:45 UTC,Staking Income,ADA,0.072404,USD,0.25045,0.02,0.02,0,
2023-09-27 17:39:03 UTC,Staking Income,SOL,0.000318327,USD,18.875,0.01,0.01,0,
2023-09-26 21:49:15 UTC,Staking Income,SOL,0.000320327,USD,18.99,0.01,0.01,0,
2023-09-26 07:23:38 UTC,Staking Income,ADA,0.071619,USD,0.24555,0.02,0.02,0,
2023-09-23 18:32:52 UTC,Staking Income,SOL,0.000321895,USD,19.425,0.01,0.01,0,
2023-09-23 10:03:55 UTC,Staking Income,SOL,0.000324637,USD,19.51,0.01,0.01,0,
2023-09-23 00:47:44 UTC,Staking Income,SOL,0.000322873,USD,19.42,0.01,0.01,0,
2023-09-21 20:47:06 UTC,Staking Income,SOL,0.000319571,USD,19.58,0.01,0.01,0,
2023-09-19 03:01:15 UTC,Staking Income,ADA,0.072493,USD,0.25395,0.02,0.02,0,
2023-09-15 00:15:28 UTC,Staking Income,SOL,0.000325533,USD,18.81,0.01,0.01,0,
2023-09-13 19:27:36 UTC,Staking Income,ADA,0.076813,USD,0.2481,0.02,0.02,0,
2023-09-13 16:50:06 UTC,Staking Income,SOL,0.00032484,USD,18.44,0.01,0.01,0,
2023-09-12 17:34:06 UTC,Staking Income,SOL,0.000320325,USD,17.81,0.01,0.01,0,
2023-09-12 01:45:36 UTC,Staking Income,SOL,0.000324901,USD,17.665,0.01,0.01,0,
2023-09-08 23:21:58 UTC,Staking Income,ADA,0.077627,USD,0.25425,0.02,0.02,0,
2023-09-08 03:28:38 UTC,Staking Income,ADA,0.002831,USD,0.25725,0,0,0,
2023-09-07 17:19:57 UTC,Staking Income,SOL,0.000325417,USD,19.645,0.01,0.01,0,
2023-09-06 19:28:13 UTC,Staking Income,SOL,0.000325138,USD,19.48,0.01,0.01,0,
2023-09-01 17:37:06 UTC,Staking Income,SOL,0.00032467,USD,19.115,0.01,0.01,0,
2023-08-31 19:40:53 UTC,Staking Income,SOL,0.000325606,USD,19.82,0.01,0.01,0,
2023-08-31 05:53:29 UTC,Staking Income,ADA,0.070688,USD,0.26515,0.02,0.02,0,
2023-08-30 19:25:39 UTC,Staking Income,SOL,0.000325614,USD,20.685,0.01,0.01,0,
2023-08-29 22:02:47 UTC,Staking Income,ADA,0.075062,USD,0.27515,0.02,0.02,0,
2023-08-26 19:46:33 UTC,Staking Income,SOL,0.000325049,USD,20.295,0.01,0.01,0,
2023-08-25 05:25:15 UTC,Staking Income,ADA,0.07687,USD,0.2612,0.02,0.02,0,
2023-08-24 20:28:52 UTC,Staking Income,SOL,0.000325073,USD,20.925,0.01,0.01,0,
2023-08-22 19:38:29 UTC,Staking Income,SOL,0.000327043,USD,20.115,0.01,0.01,0,
2023-08-19 16:47:04 UTC,Staking Income,SOL,0.000169595,USD,22.07,0,0,0,
